id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.14464_19.40712,2022,radar fijo,RVEF021,Av. Insurgentes Nte. Y ,Pte. 112,-99.144644,19.40712
-99.14465_19.40598,2023,radar fijo,009-SSC-CUH-EV-124.70,José Peón Contreras,Toribio Medina,-99.144651,19.4059829
-99.14465_19.40598,2024,radar fijo,009-SSC-CUH-EV-124.70,Jose Peon Contreras,Toribio Medina,-99.144651,19.4059829
-99.14473_19.46981,2019,radar fijo,RVEF034,Av. Revolución,y Calle 13,-99.1447284,19.4698112
-99.14473_19.46981,2020,radar fijo,RVEF034,Av. Revolución,y Calle 13,-99.1447284,19.4698112
-99.14473_19.46981,2021,radar fijo,RVEF034,Av. Revolución,y Calle 13,-99.1447284,19.4698112
-99.14473_19.46981,2022,radar fijo,RVEF034,Av. Revolución Y,Calle 13,-99.1447284,19.4698112
-99.14473_19.46981,2023,radar fijo,RVEF034,Av. Revolución Y,Calle 13,-99.1447284,19.4698112
-99.14501_19.40393,2019,radar móvil,NA,Entre Eje Central Lázaro Cárdenas y ,Av. Doctor José María Vértiz,-99.14500651,19.40393467
-99.14505_19.45625,2019,radar fijo,JFCF010,Eje 4 Pte. Av. Revolución,y Av. Barranca del Muerto,-99.145048,19.456251
-99.14505_19.45625,2020,radar fijo,JFCF010,Eje 4 Pte. Av. Revolución,y Av. Barranca del Muerto,-99.145048,19.456251
-99.14505_19.45625,2021,radar fijo,JFCF010,Eje 4 Pte. Av. Revolución,y Av. Barranca del Muerto,-99.145048,19.456251
-99.14505_19.45625,2022,radar fijo,JFCF010,Eje 4 Pte. Av. Revolución Y ,Av. Barranca Del Muerto,-99.145048,19.456251
-99.14505_19.45625,2023,radar fijo,JFCF010,Eje 4 Pte. Av. Revolución Y,Av. Barranca Del Muerto,-99.145048,19.456251
-99.14613_19.45657,2024,radar fijo,066-SSC-CUH-EV-143.142,Calz. Gral. Ignacio Zaragoza,Guerrero,-99.1461344,19.4565683
-99.14615_19.42717,2019,radar móvil,NA,Entre Av. Cuauhtémoc y ,Av. Dr. José María Vértiz,-99.14614616,19.42717175
-99.14636_19.45655,2019,radar fijo,VVEF006,Circuito Bicentenario Av. Río Consulado ,y Av. Congreso de la Unión,-99.1463572,19.4565453
-99.14636_19.45655,2020,radar fijo,VVEF006,Circuito Bicentenario Av. Río Consulado ,y Av. Congreso de la Unión,-99.1463572,19.4565453
-99.14636_19.45655,2021,radar fijo,VVEF006,Circuito Bicentenario Av. Río Consulado ,y Av. Congreso de la Unión,-99.1463572,19.4565453
-99.14636_19.45655,2022,radar fijo,VVEF006,Circuito Bicentenario Av. Río Consulado Y,Avenida Congreso De La Unión,-99.1463572,19.4565453
-99.14636_19.45655,2023,radar fijo,VVEF006,Circuito Bicentenario Av. Río Consulado Y,Avenida Congreso De La Unión,-99.1463572,19.4565453
-99.1485_19.45712,2019,radar móvil,RVEM005,Entre Florencio Constantino y ,Av. Insurgentes,-99.14849566,19.45711779
-99.14922_19.43798,2019,radar móvil,NA,Entre Av. Guerrero y ,Av. Insurgentes,-99.14922168,19.43797642
-99.14923_19.40699,2024,radar fijo,046-SSC-CUH-FC-119.110,C. Dr. José María Vértiz,Dr. Andrade,-99.149233,19.406994
-99.14943_19.40686,2019,radar fijo,BFCF017,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,-99.149428,19.406861
