id_control,ubi,no,via_princi,ubicacion,sentido,x_utm,y_utm,distancia_tratado_m
CTRL_024,28,28,Guadalupe I. Ramirez,Av. Guadalupe I. Ram?rez y Prol. Divisi?n del Norte,Oriente a Poniente,487940.93806018686,2130256.2070857864,3448.219921370266
CTRL_025,128,3,Av. Hidalgo - Paseo de la Reforma y Zarco,Av. Hidalgo,Oriente a Poniente,484695.9336440086,2149232.7584536807,4534.015668609174
CTRL_026,42,42,Av. Aquiles Serd?n,Av. Aquiles Serd?n y Av. Tezozomoc,Sur a Norte,479598.8304460184,2155022.343298866,1922.4086102680394
CTRL_027,31,31,Eje 3 Poniente,Eje 3 Pte. Thiers y Darwin,Norte a Sur,481657.30843529844,2148411.6606288855,5001.45546531552
CTRL_028,138,13,Circuito Bicentenario Av. Rio Consulado y Av. Ing. Eduardo Molina,Circuito Bicentenario Av. Rio Consulado,Sur a Norte,488577.7511744718,2150879.9623155487,2313.8993702199705
CTRL_029,137,12,Eje Central Lázaro Cárdenas y Circuito Bicentenario Paseo de las Jacarandas,Eje Central Lázaro Cárdenas,Sur a Norte,485582.01777042967,2152274.4494308764,5116.2947864848375
CTRL_030,54,8,Anillo Perif?rico Canal de Garay,Anillo Perif?rico Canal de Garay y Lebrija,Norte a Sur,492452.8441853498,2136627.969130372,3929.564209066558
CTRL_031,65,19,Calz. De Tlalpan,Calz. De Tlalpan y Museo,Norte a Sur,485311.36769197875,2137210.303271821,2430.737019985839
CTRL_032,133,8,San Lorenzo y Eje 8 Sur,San Lorenzo,Sur a Norte,492146.0594865998,2139663.7245525736,1339.1915521672108
CTRL_033,92,46,Perif?rico 2P S-N,Perif?rico 2P S-N / Dr. Glez. Herrej?n / Lomas de Plateros,Norte a Sur,479824.4549753957,2142083.638002514,8895.44837902229
CTRL_034,73,27,Circuito Bicentenario Melchor Ocampo,Circuito Bicentenario Melchor Ocampo y R?o Duero,Sur a Norte,481715.5541804803,2148260.338319314,5163.2970833194195
CTRL_035,16,16,Eje 6 Sur Narciso Mendoza,Eje 6 Sur Narciso Mendoza y  Eje 8 Sur Ermita Iztapalapa,Oriente a Poniente,498387.6329406231,2139791.6713630906,7456.760641225576
CTRL_036,21,21,Eje 4 Oriente,Eje 4 Ote. Canal Rio Churubusco y Canal de Apatlaco,Norte a Sur,489952.5537835009,2142872.17467813,1449.1915744873859
CTRL_037,29,29,Eje 6 Sur,Eje 6 Sur Av. Luis M?ndez y Carlos L Gracidas,Poniente a Oriente,494837.63520902366,2140914.235566915,3947.3540891647935
CTRL_038,36,36,Pino Su?rez,Jos? Mar?a Pino Su?rez y Venustiano Carranza,Norte a Sur,486111.98636422044,2148521.663106274,3082.882000312446
CTRL_039,67,21,Eje 2 Nte. Manuel Gonz?lez,Eje 2 Nte. Manuel Gonz?lez y Calle General Ignacio Zaragoza,Oriente a Poniente,484638.40481306124,2151350.970706135,4843.639035208251
CTRL_040,71,25,Eje Central L?zaro C?rdenas,Eje Central L?zaro C?rdenas y Toribio Medina,Sur a Norte,484813.62861509604,2145881.747092912,4950.474978040834
CTRL_041,43,43,Eje Central,Eje Central L?zaro C?rdenas y Avenida Hidalgo,Sur a Norte,485231.188506412,2149067.9707175293,3983.1238713676735
CTRL_042,58,12,Eje 5 Av. Montevideo,Eje 5 Av. Montevideo y Pulacayo,Oriente a Poniente,486368.19146545196,2154998.246664684,6474.066475114436
CTRL_043,74,28,Circuito Bicentenario Instituto T?cnico Industrial,Circuito Bicentenario Instituto T?cnico Industrial y Calle Eligio Ancona,Sur a Norte,482791.9494018213,2150997.9577649888,3424.552146019065
CTRL_044,83,37,Circuito Bicentenario Boulebard Puerto Aereo,Circuito Bicentenario Boulebard Puerto Aereo y Norte 25,Sur  a Norte,490957.7433004438,2149246.787605837,1388.1289956724918
