id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
05-088,JOSE MARIA MORELOS Y PAVON I (U HAB),5,GUSTAVO A. MADERO,8
05-197,VERONICA CASTRO,5,GUSTAVO A. MADERO,8
07-093,HUITZICO-LA POBLANITA,7,IZTAPALAPA,8
10-039,CANUTILLO PREDIO LA PRESA,10,ALVARO OBREGON,8
10-041,CEDRO CHICO,10,ALVARO OBREGON,8
10-051,DE TARANGO (RCNDA),10,ALVARO OBREGON,8
10-058,EL BOSQUE SECCION TORRES,10,ALVARO OBREGON,8
10-095,LA ARAÑA,10,ALVARO OBREGON,8
10-152,METROPOLITANO (U HAB),10,ALVARO OBREGON,8
10-215,TETLALPAN,10,ALVARO OBREGON,8
10-244,26 DE JULIO,10,ALVARO OBREGON,8
12-168,TENORIOS INFONAVIT 1 Y 2 (U HAB),12,TLALPAN,8
17-049,PINO (U HAB),17,VENUSTIANO CARRANZA,8
03-063,JOYAS DEL PEDREGAL (FRACC),3,COYOACAN,7
07-008,ANTORCHA POPULAR I (U HAB),7,IZTAPALAPA,7
07-149,NORMA ISSSTE (U HAB),7,IZTAPALAPA,7
07-233,TLANEZICALLI (U HAB),7,IZTAPALAPA,7
07-238,VALLE DE LUCES II,7,IZTAPALAPA,7
10-023,AVE REAL (AMPL),10,ALVARO OBREGON,7
10-055,EL BATAN,10,ALVARO OBREGON,7
10-070,ESTADO DE HIDALGO (AMPL),10,ALVARO OBREGON,7
10-205,SEARS ROEBUCK (U HAB),10,ALVARO OBREGON,7
10-221,TLACOYAQUE (BARR),10,ALVARO OBREGON,7
02-033,HOGARES FERROCARRILEROS (U HAB),2,AZCAPOTZALCO,6
05-009,ARROYO GUADALUPE (U HAB),5,GUSTAVO A. MADERO,6
05-048,EL ARBOLILLO 3 (U HAB),5,GUSTAVO A. MADERO,6
05-069,GRACIANO SANCHEZ,5,GUSTAVO A. MADERO,6
07-153,PARAISO (AMPL),7,IZTAPALAPA,6
