folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20210914/03492,2021-09-14,PRIVADA GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20210916/05183,2021-09-16,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20210916/05183,2021-09-16,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20210916/07112,2021-09-16,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20210916/07112,2021-09-16,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C5/20210916/07212,2021-09-16,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20210916/07212,2021-09-16,TORRES DE SAN JUAN (U HAB),GUSTAVO A. MADERO,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C5/20210920/03627,2021-09-20,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES",MIGUEL HIDALGO,16-046,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),16,MIGUEL HIDALGO
C5/20210920/03627,2021-09-20,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES",MIGUEL HIDALGO,16-053,MOLINO DEL REY,16,MIGUEL HIDALGO
C5/20210927/03235,2021-09-27,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20210927/03235,2021-09-27,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20211017/01833,2021-10-17,GAVILAN (U HAB),IZTAPALAPA,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20211017/01833,2021-10-17,GAVILAN (U HAB),IZTAPALAPA,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20211028/01160,2021-10-28,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,05-035,CUCHILLA DEL TESORO,5,GUSTAVO A. MADERO
C5/20211028/01160,2021-10-28,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,17-047,PEÑON DE LOS BAÑOS,17,VENUSTIANO CARRANZA
C5/20220128/03067,2022-01-28,Potrero Del Llano,Tláhuac,09-002,SAN ANTONIO TECOMITL (PBLO),9,MILPA ALTA
C5/20220128/03067,2022-01-28,Potrero Del Llano,Tláhuac,11-012,JAIME TORRES BODET,11,TLAHUAC
C5/20220131/03826,2022-01-31,Culhuacan Ctm Canal Nacional,Coyoacán,03-015,CANAL NACIONAL 260 (U HAB),3,COYOACAN
C5/20220131/03826,2022-01-31,Culhuacan Ctm Canal Nacional,Coyoacán,03-031,CTM VII CULHUACAN (U HAB),3,COYOACAN
C5/20220203/03735,2022-02-03,Culhuacan Ctm Canal Nacional,Coyoacán,03-015,CANAL NACIONAL 260 (U HAB),3,COYOACAN
C5/20220203/03735,2022-02-03,Culhuacan Ctm Canal Nacional,Coyoacán,03-031,CTM VII CULHUACAN (U HAB),3,COYOACAN
C5/20220208/03330,2022-02-08,San Miguel Chapultepec I Seccion,Cuauhtémoc,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20220208/03330,2022-02-08,San Miguel Chapultepec I Seccion,Cuauhtémoc,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20220209/01713,2022-02-09,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
