anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2022,2022_482100_2139072,482099.5930145589,2139072.4395822664,1,,radar móvil,Miguel Angel De Quevedo Y ,Calle Delta,2021,2022,0,2021_482100_2139072,,radar móvil
2022,2022_482101_2139070,482100.64114490343,2139070.2255005813,1,,radar móvil,Alfredo Robles Dominguez Sentido Poniente ,-,2021,2022,0,2021_482101_2139070,,radar móvil
2022,2022_482101_2139071,482100.6422351752,2139071.3320239643,1,,radar móvil,Miguel Ángel De Quevedo Y ,Calle Delta Dirección Oriente,2021,2022,0,2021_482101_2139071,,radar móvil
2022,2022_482120_2152878,482119.53538082755,2152877.513607224,1,RVEM005,radar móvil,Eje 3 Norte Av. Cuitlahuac Y  ,Calle Piñon Sentido Poniente,2021,2022,0,2021_482120_2152878,RVEM005,radar móvil
2022,2022_482638_2149909,482638.28820150794,2149909.2727574455,1,RVEM004,radar móvil,Ribera De San Cosme Y,Virginia Fabregas Direccion Oriente,2021,2022,0,2021_482638_2149909,RVEM004,radar móvil
2022,2022_483134_2157480,483133.6831731268,2157479.8608000493,1,RVEF023,radar fijo,Eje 2 Nte. Manuel González Y,Calle General Ignacio Zaragoza,2021,2022,0,2021_483134_2157480,RVEF023,radar fijo
2022,2022_483154_2149748,483153.53269181866,2149748.3373035477,1,,radar móvil,Av. Ribera De San Cosme Sentido Poniente  ,-,2021,2022,0,2021_483154_2149748,,radar móvil
2022,2022_483252_2149723,483252.1801188704,2149722.7952807476,1,RVEM008,radar móvil,Ribera De San Cosme Y ,Jaime Torres Bodet Sentido Poniente,2021,2022,0,2021_483252_2149723,RVEM008,radar móvil
2022,2022_483252_2150323,483252.4215946765,2150322.9801209937,1,VVEF001,radar fijo,Av. 608 Y ,Av. 508,2021,2022,0,2021_483252_2150323,VVEF001,radar fijo
2022,2022_483325_2153247,483324.71583814407,2153247.3819637955,1,VVEF031,radar fijo,Av. Constituyentes Y ,Camino De Los Toros,2021,2022,0,2021_483325_2153247,VVEF031,radar fijo
2022,2022_483655_2149947,483655.46545055846,2149947.0526854345,1,,radar móvil,Av. Revolucion  Sentido Norte ,-,2021,2022,0,2021_483655_2149947,,radar móvil
2022,2022_483656_2149563,483656.16782172455,2149563.084271439,1,,radar móvil,Ribera De San Cosme Y ,Puente De Alvarado Sentido Oriente,2021,2022,0,2021_483656_2149563,,radar móvil
2022,2022_483990_2138835,483989.94424220757,2138834.9857656844,1,RVEM012,radar móvil,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,2021,2022,0,2021_483990_2138835,RVEM012,radar móvil
2022,2022_484080_2157090,484079.96506656124,2157090.1927551692,1,VVEF003,radar fijo,Circuito Bicentenario Instituto Técnico Industrial Y ,Calle Eligio Ancona,2021,2022,0,2021_484080_2157090,VVEF003,radar fijo
2022,2022_484232_2155535,484231.93223760696,2155534.636712037,1,RVEF008,radar fijo,Eje 1 Nte. José Antonio Alzáte Y ,Naranjo,2021,2022,0,2021_484232_2155535,RVEF008,radar fijo
2022,2022_484311_2145854,484311.3241975992,2145853.5162685877,3,BCFC003 | BFCF017 | BFCF018,radar fijo,Eje 3 Sur (Dr. Morones Prieto) Y,Dr. José Ma. Vértiz,2021,2022,0,2021_484311_2145854,BCFC003 | BFCF017 | BFCF018,radar fijo
2022,2022_484638_2151351,484638.4048130572,2151350.970706135,1,VVEF006,radar fijo,Circuito Bicentenario Av. Río Consulado Y,Avenida Congreso De La Unión,2021,2022,0,2021_484638_2151351,VVEF006,radar fijo
2022,2022_484776_2151318,484775.7907100563,2151318.2889615246,1,JFCF010,radar fijo,Eje 4 Pte. Av. Revolución Y ,Av. Barranca Del Muerto,2021,2022,0,2021_484776_2151318,JFCF010,radar fijo
2022,2022_484811_2152819,484810.5988130709,2152818.746455701,1,RVEF034,radar fijo,Av. Revolución Y,Calle 13,2021,2022,0,2021_484811_2152819,RVEF034,radar fijo
2022,2022_484814_2145882,484813.62861509604,2145881.747092912,1,RVEF021,radar fijo,Av. Insurgentes Nte. Y ,Pte. 112,2021,2022,0,2021_484814_2145882,RVEF021,radar fijo
2022,2022_484877_2150049,484877.45224910794,2150048.9073517825,1,VVEF008,radar fijo,Av. Oceanía Y,Pablo R. Sidar,2021,2022,0,2021_484877_2150049,VVEF008,radar fijo
2022,2022_484972_2154684,484972.4556793939,2154683.6605248,1,VVEF033,radar fijo,Av. Chapultepec Y,Guaymas,2021,2022,0,2021_484972_2154684,VVEF033,radar fijo
2022,2022_485107_2148035,485106.8579642713,2148035.2566221436,1,JFCF022,radar fijo,Eje Central Lázaro Cárdenas Y,Avenida Hidalgo,2021,2022,0,2021_485107_2148035,JFCF022,radar fijo
2022,2022_485181_2145907,485180.8785617652,2145907.1585194245,1,VVEF005,radar fijo,Av. Ejército Nacional Y,Calle Luis Vives,2021,2022,0,2021_485181_2145907,VVEF005,radar fijo
2022,2022_485231_2149068,485231.188506412,2149067.9707175293,1,RVEF007,radar fijo,Eje 3 Sur José Peón Contreras Y,José María Bustillos,2021,2022,0,2021_485231_2149068,RVEF007,radar fijo
2022,2022_485304_2149977,485304.2230727506,2149977.393897573,3,BFCF005 | BFCF006 | BFCF016,radar fijo,Eje 1 Norte Mosqueta - Paseo De La Reforma Y ,Eje Central Lázaro Cárdenas,2021,2022,0,2021_485304_2149977,BFCF005 | BFCF006 | BFCF016,radar fijo
2022,2022_485311_2137210,485311.3676919761,2137210.303271821,1,RVEF012,radar fijo,Circuito Bicentenario Av. Río Consulado Y,Cantón,2021,2022,0,2021_485311_2137210,RVEF012,radar fijo
2022,2022_485362_2136175,485361.62667267147,2136174.8585717916,1,,radar móvil,Calzada De Tlalpan Y ,Calle Elvira Dirección Norte,2021,2022,0,2021_485362_2136175,,radar móvil
2022,2022_485367_2143347,485367.4071642836,2143347.3398127854,1,RVEM007,radar móvil,Calzada De Tlalpan Y,Calle Elvira Direccion Norte,2021,2022,0,2021_485367_2143347,RVEM007,radar móvil
2022,2022_485399_2149952,485398.883502703,2149951.977500506,1,BFCF019,radar fijo,Eje 1 Poniente Guerrero Y,Eje 2 Norte Manuel González,2021,2022,0,2021_485399_2149952,BFCF019,radar fijo
2022,2022_485473_2150577,485473.0737431347,2150577.1100179497,2,JFCF007 | JFCF015,radar fijo,Eje Central Lázaro Cárdenas Y,Av. Ricardo Flores Magón,2021,2022,0,2021_485473_2150577,JFCF007 | JFCF015,radar fijo
2022,2022_485488_2151148,485487.5978079811,2151148.0707825944,1,JFCF029,radar fijo,Eje Central Y,Margarita Maza De Juárez,2021,2022,0,2021_485488_2151148,JFCF029,radar fijo
2022,2022_485489_2151242,485489.24798943463,2151242.3463323778,1,RVEM001,radar móvil,Eje 2 Norte Manuel Gonzalez Y,Calle Lerdo Dirección Poniente,2021,2022,0,2021_485489_2151242,RVEM001,radar móvil
2022,2022_485570_2138562,485569.51990425173,2138561.7899608333,1,JFCF013,radar fijo,José María Izazaga Y,Eje Central Lázaro Cárdenas,2021,2022,0,2021_485570_2138562,JFCF013,radar fijo
2022,2022_485571_2138579,485571.42404542194,2138578.8288904596,1,JFCF012,radar fijo,Eje 1 Ote. Andrés Molina Enríquez Y,Eje 5 Sur Playa Villa Del Mar,2021,2022,0,2021_485571_2138579,JFCF012,radar fijo
2022,2022_485616_2150175,485616.13453553186,2150174.6593402987,1,RVEF016,radar fijo,Eje 5 Av. Montevideo Y,Pulacayo,2021,2022,0,2021_485616_2150175,RVEF016,radar fijo
2022,2022_485940_2154187,485939.93392621673,2154186.928864645,1,VVEF007,radar fijo,Av. Paseo De La Reforma E,Ignacio Allende,2021,2022,0,2021_485940_2154187,VVEF007,radar fijo
2022,2022_485940_2154861,485940.14490418363,2154861.032610049,1,RVEF030,radar fijo,Av. Paseo De La Reforma Y,Estela De Luz,2021,2022,0,2021_485940_2154861,RVEF030,radar fijo
2022,2022_485983_2155183,485983.1058379334,2155183.2236255654,2,BFCF010 | BFCF011,radar fijo,Av. Instituto Politécnico Nacional ,Y Eje 5 Nte Montevideo,2021,2022,0,2021_485983_2155183,BFCF010 | BFCF011,radar fijo
2022,2022_486046_2147961,486046.46831689065,2147960.8121739198,2,BFCF030 | BFCF031,radar fijo,Eje 9 Sur Miguel Ángel De Quevedo Y,Av. Universidad,2021,2022,0,2021_486046_2147961,BFCF030 | BFCF031,radar fijo
2022,2022_486112_2148522,486111.98636422044,2148521.663106274,1,JFCF021,radar fijo,Av. Cuitláhuac Y ,Av. Jardín,2021,2022,0,2021_486112_2148522,JFCF021,radar fijo
2022,2022_486230_2147701,486230.08932339784,2147700.636394946,2,BFCF004 | BFCF035,radar fijo,Circuito Bicentenario Maestro José Vasconcelos Y ,Av. Benjamín Franklin,2021,2022,0,2021_486230_2147701,BFCF004 | BFCF035,radar fijo
2022,2022_486356_2142560,486355.65886277374,2142560.381817535,1,JFCF006,radar fijo,Eje 6 Sur Playa Pie De La Cuesta Y,Eje 1 Ote. Andrés Molina Enríquez,2021,2022,0,2021_486356_2142560,JFCF006 | JFCF014,radar fijo
2022,2022_486402_2143035,486402.21949799213,2143034.936048268,1,JFCF026,radar fijo,Av. Aquiles Serdán Y,Av. Tezozomoc,2021,2022,0,2021_486402_2143035,JFCF026,radar fijo
2022,2022_486414_2151409,486414.07463639276,2151408.7136609536,1,RVEM002,radar móvil,Calzada De Los Misterios Y ,Calle Arrigo Boito Dirección Sur,2021,2022,0,2021_486414_2151409,RVEM002,radar móvil
