mes,tratado,n_colonias,media_incidentes,mediana_incidentes,sd_incidentes,total_incidentes,grupo
2015-06-01,0,1722,7.116144018583043,3,10.684824212237507,12254,Sin infraestructura
2015-06-01,1,92,26.065217391304348,18,22.469419681677195,2398,Con infraestructura
2015-07-01,0,1722,6.7229965156794425,3,10.091759985438943,11577,Sin infraestructura
2015-07-01,1,92,27.934782608695652,21.5,25.602542948830827,2570,Con infraestructura
2015-08-01,0,1722,7.154471544715447,3,10.766684971228242,12320,Sin infraestructura
2015-08-01,1,92,27.66304347826087,22,24.43213393581145,2545,Con infraestructura
2015-09-01,0,1722,7.988385598141695,3,11.96517724155502,13756,Sin infraestructura
2015-09-01,1,92,28.72826086956522,24,23.194875931327175,2643,Con infraestructura
2015-10-01,0,1722,8.782229965156795,3,12.926856679502412,15123,Sin infraestructura
2015-10-01,1,92,30.967391304347824,24,26.688867122543037,2849,Con infraestructura
2015-11-01,0,1722,7.9680603948896636,3,12.183834064257308,13721,Sin infraestructura
2015-11-01,1,92,29.619565217391305,23,23.741206534651408,2725,Con infraestructura
2015-12-01,0,1722,7.8931475029036005,3,11.825585551825377,13592,Sin infraestructura
2015-12-01,1,92,28.22826086956522,22,22.227150638658497,2597,Con infraestructura
2016-01-01,0,1722,6.6277584204413476,3,9.647608355289403,11413,Sin infraestructura
2016-01-01,1,92,23.902173913043477,19,20.106343530518522,2199,Con infraestructura
2016-02-01,0,1722,7.229965156794425,3,11.207952834440933,12450,Sin infraestructura
2016-02-01,1,92,25.902173913043477,20,23.009821019600246,2383,Con infraestructura
2016-03-01,0,1722,6.47212543554007,2,9.956826092402334,11145,Sin infraestructura
2016-03-01,1,92,23.41304347826087,19,22.357314202018078,2154,Con infraestructura
2016-04-01,0,1722,6.563879210220674,3,9.966751038135454,11303,Sin infraestructura
2016-04-01,1,92,24.869565217391305,19,22.788669534431932,2288,Con infraestructura
2016-05-01,0,1722,6.821138211382114,3,10.320739813114615,11746,Sin infraestructura
2016-05-01,1,92,24.32608695652174,16,20.999795234821775,2238,Con infraestructura
2016-06-01,0,1722,7.060975609756097,3,10.66293567946745,12159,Sin infraestructura
2016-06-01,1,92,26.054347826086957,18.5,22.312645668159846,2397,Con infraestructura
2016-07-01,0,1722,7.35075493612079,3,11.08574535861537,12658,Sin infraestructura
2016-07-01,1,92,28.27173913043478,23,22.75676605622584,2601,Con infraestructura
2016-08-01,0,1722,8.252613240418118,3,12.36067298451461,14211,Sin infraestructura
2016-08-01,1,92,29.956521739130434,20,26.69317443458396,2756,Con infraestructura
2016-09-01,0,1722,8.32752613240418,3,12.652079527229871,14340,Sin infraestructura
2016-09-01,1,92,29.98913043478261,25.5,23.802527599283817,2759,Con infraestructura
2016-10-01,0,1722,9.110917537746806,4,13.291655597127901,15689,Sin infraestructura
2016-10-01,1,92,31.065217391304348,25,25.074309056831385,2858,Con infraestructura
2016-11-01,0,1722,9.13472706155633,4,13.395575932893722,15730,Sin infraestructura
2016-11-01,1,92,33.28260869565217,25,26.615423970320734,3062,Con infraestructura
2016-12-01,0,1722,9.176538908246226,4,13.74437357119456,15802,Sin infraestructura
2016-12-01,1,92,34.30434782608695,26,27.671042161351096,3156,Con infraestructura
2017-01-01,0,1722,8.243321718931474,3,12.143176652805803,14195,Sin infraestructura
2017-01-01,1,92,27.597826086956523,20.5,22.608497761822765,2539,Con infraestructura
2017-02-01,0,1722,8.728803716608594,4,13.4249880046876,15031,Sin infraestructura
2017-02-01,1,92,31.217391304347824,22,26.51345339072866,2872,Con infraestructura
2017-03-01,0,1722,9.590011614401858,4,14.0760478786245,16514,Sin infraestructura
2017-03-01,1,92,32.29347826086956,25,28.904366012454584,2971,Con infraestructura
2017-04-01,0,1722,7.609175377468061,3,11.45620402700345,13103,Sin infraestructura
2017-04-01,1,92,26.380434782608695,18,22.887129830907124,2427,Con infraestructura
2017-05-01,0,1722,8.614982578397212,3,12.837602141092818,14835,Sin infraestructura
2017-05-01,1,92,28.91304347826087,19.5,25.039595972371984,2660,Con infraestructura
2017-06-01,0,1722,8.911730545876887,4,13.211474047568345,15346,Sin infraestructura
