term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-12:tratada,6.930706691630663,1.1201198334007731,6.187468951949976,7.539781369632292e-10,4.733845544935921,9.127567838325405,-12,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::-9:tratada,-3.549071824790893,0.551946480713431,-6.430101375414985,1.6265462373395634e-10,-4.6315897325872735,-2.4665539169945125,-9,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-8:tratada,-2.6108065521645627,0.49598939501785955,-5.263835433559125,1.578440803775411e-7,-3.583577320609215,-1.6380357837199102,-8,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-7:tratada,-0.35442586083285776,0.5137329191900252,-0.6899029585093783,0.49034351243850216,-1.3619965298746837,0.6531448082089683,-7,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-6:tratada,-0.5236926763140447,0.5505521770484305,-0.9512135237056323,0.34162278237966937,-1.6034759735294895,0.5560906209014002,-6,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-5:tratada,0.07038866826822388,0.5853708872247675,0.12024627429275693,0.9043013855987444,-1.0776836363226052,1.2184609728590527,-5,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-4:tratada,1.6392878246226532,0.5695890244246117,2.87801863155392,0.00404868574035891,0.5221680665132724,2.756407582732034,-4,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-3:tratada,1.6836572235656626,0.5752476159581887,2.9268391156410067,0.0034669021835368554,0.5554394208413682,2.811875026289957,-3,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-2:tratada,1.0230238322381253,0.5474440099418656,1.8687277852337132,0.061821842912363374,-0.05066349975088813,2.0967111642271385,-2,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::0:tratada,1.0755875981180698,0.5348124740103498,2.0111490482872596,0.044457484850960745,0.02667416056745342,2.124501035668686,0,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::1:tratada,2.900662278879333,0.6470399766145896,4.482972279481144,7.821701299106234e-6,1.631640034476063,4.169684523282603,1,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::2:tratada,1.0044480189564342,0.6476366411682924,1.5509437778944661,0.12108969101158483,-0.26574444771819783,2.2746404856310662,2,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::3:tratada,1.6196246266447716,0.6510578380567492,2.4876816343674792,0.01294713778772842,0.34272225778349164,2.8965269955060515,3,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::4:tratada,3.6020910613370916,0.7520116210752511,4.789940687600947,1.8039449581842873e-6,2.1271907310864018,5.076991391587781,4,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
