archivo,variable,observaciones_muestra,faltantes,porcentaje_faltantes
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,interseccion_semaforizada,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,clasificacion_de_la_vialidad,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,sentido_de_circulacion,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,dia,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,prioridad,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,origen,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,unidad_medica_de_apoyo,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,matricula_unidad_medica,2000,2000,100
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,trasladado_lesionados,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,no_vehiculo,2000,0,0
nuevo_acumulado_ht_vehiculos_incolucrados_2023_12.csv,tipo_vehiculo,2000,0,0
