anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2023,2023_478765_2145797,478765.0149026487,2145796.509127491,1,VVEF010 ,radar fijo,Avenida Constituyentes Y,Camino De Los Toros,2022,2023,1904.676641169968,2022_480661_2145978,BCFC002 | BFCF001,radar fijo
2023,2023_489192_2148649,489192.2314362317,2148649.1453568065,1,012-SSC-VCA-FC-124.94,radar fijo,Ote. 144,Ote. 146,2022,2023,1501.1832375102697,2022_489838_2147294,VVEF002,radar fijo
2023,2023_483662_2147898,483662.2313940677,2147897.9328471995,1,VVEF012 ,radar fijo,Avenida Chapultepec Y,Guaymas,2022,2023,1451.1387757561401,2022_485107_2148035,JFCF022,radar fijo
2023,2023_484945_2134807,484944.5167967457,2134807.4085839503,1,007-SSC-COY-EV-124.54,radar fijo,Hidalgo ,Tlamanalco,2022,2023,1429.6503481068316,2022_485362_2136175,,radar móvil
2023,2023_488720_2142110,488719.8637480818,2142110.1828828044,1,019-SSC-IZP-EV-124.150,radar fijo,Esq. Eje 6 Sur Trabajadoras Sociales,Geografos,2022,2023,1413.2822078692082,2022_489954_2142799,JVEF010,radar fijo
2023,2023_487605_2147477,487605.4703915539,2147477.262024645,1,030-SSC-VCA-EV-124.238,radar fijo,Congreso De La Unión,Sur 103,2022,2023,1393.4020209362698,2022_486230_2147701,BFCF004 | BFCF035,radar fijo
2023,2023_490047_2148199,490047.2074097959,2148199.0154452655,1,013-SSC-VCA-EV-124.102,radar fijo,Ote. 176,Ote. 178,2022,2023,909.9166587136898,2022_489936_2147296,RVEF011,radar fijo
2023,2023_482792_2150998,482791.9494018213,2150997.9577649888,1,VVEF009 ,radar fijo,"Circuito Bicentenario,Instituto Técnico Industrial Y",Calle Eligio Ancona,2022,2023,817.0859564856246,2022_483252_2150323,VVEF001,radar fijo
2023,2023_484293_2149135,484293.4171329021,2149135.3514153054,1,011-SSC-CUH-FC-124.86,radar fijo,Ignacio Mariscal,Tomás Alva Edison,2022,2023,767.4907692033444,2022_483656_2149563,,radar móvil
2023,2023_486060_2153568,486059.6368247859,2153568.4134974442,1,035-SSC-GAM-EV-119.22,radar fijo,Pte. 112,Pte. 116,2022,2023,629.9920978783402,2022_485940_2154187,VVEF007,radar fijo
2023,2023_485357_2152602,485357.1978931763,2152601.5680331606,1,010-SSC-GAM-EV-124.78,radar fijo,Debussy,Meyeber,2022,2023,588.1641111026624,2022_484811_2152819,RVEF034,radar fijo
2023,2023_485482_2136254,485482.4633322804,2136254.121333561,1,006-SSC-COY-EV-124.46,radar fijo,Benito Juárez,Caliz,2022,2023,144.513264819358,2022_485362_2136175,,radar móvil
2023,2023_484813_2145756,484812.7881259865,2145755.9242155706,1,009-SSC-CUH-EV-124.70,radar fijo,José Peón Contreras,Toribio Medina,2022,2023,125.82568451797175,2022_484814_2145882,RVEF021,radar fijo
2023,2023_493953_2138772,493953.20959948323,2138772.2398529584,1,017-SSC-IZP-EV-124.134,radar fijo,Pensamiento,Pabellón,2022,2023,116.83110286005098,2022_494069_2138759,RVEF013,radar fijo
2023,2023_489714_2153903,489714.32828145596,2153903.308777987,1,014-SSC-GAM-FC-124.110,radar fijo,Río Guadalupe,Eje 5 Norte,2022,2023,114.19359168985517,2022_489734_2153791,JFCF020,radar fijo
2024,2024_486948_2132431,486948.462935062,2132431.233650573,1,075-SSC-XOC-EV-143.211,radar fijo,Viaducto Tlalpan,Av. El Farol,2023,2024,2382.3168571452466,2023_487928_2130260,018-SSC-XOC-FC-124.142,radar fijo
2024,2024_487007_2132439,487006.52968335914,2132438.8935078993,1,056-SSC-XOC-VE-119.190,radar fijo,Viaducto Tlalpan,Av. El Farol,2023,2024,2366.084172390625,2023_487928_2130260,018-SSC-XOC-FC-124.142,radar fijo
2024,2024_492081_2151030,492080.97830539977,2151030.0022738497,1,068-SSC-GAM-EV-143.158,radar fijo,Av. 606,Av. 583,2023,2024,2107.4893661829055,2023_490958_2149247,JVEF008,radar fijo
2024,2024_480469_2143993,480468.7038187202,2143993.323264742,1,067-SSC-BEJ-EV-143.150,radar fijo,Calle 13,Calle 15,2023,2024,1994.2922744928762,2023_480661_2145978,BCFC002 | BFCF001,radar fijo
2024,2024_489906_2150739,489906.1183890013,2150738.51942487,1,063-SSC-VCA-EV-119.246,radar fijo,Peniques,Rupias,2023,2024,1825.151712675538,2023_490958_2149247,JVEF008,radar fijo
2024,2024_487975_2151306,487974.76351242117,2151306.4029431385,1,069-SSC-GAM-EV-143.166,radar fijo,Av. H. Congreso De La Unión,Nte. 60-A,2023,2024,1159.8873870235154,2023_486906_2150856,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo
2024,2024_489818_2149435,489817.6551974365,2149434.530724739,1,070-SSC-VCA-EV-143.174,radar fijo,Norte 37,Pablo R. Sidar,2023,2024,1003.9845901419045,2023_489192_2148649,012-SSC-VCA-FC-124.94,radar fijo
2024,2024_490072_2133762,490072.3917194256,2133761.81776569,1,076-SSC-XOC-EV-143.218,radar fijo,Antiguo Canal De Cuemanco,C.24,2023,2024,863.0176186702967,2023_489273_2133437,004-SSC-XOC-FC-124.30,radar fijo
2024,2024_488076_2141739,488076.38201479573,2141739.466037681,1,059-SSC-ITZ-VE-119.214,radar fijo,Sur 113,Sur 113-A,2023,2024,742.6302716232306,2023_488720_2142110,019-SSC-IZP-EV-124.150,radar fijo
2024,2024_488139_2141781,488138.546549303,2141780.5769385304,1,060-SSC-IZT-VE-143.166,radar fijo,Estnógrafos,Fiscales,2023,2024,668.2587553461416,2023_488720_2142110,019-SSC-IZP-EV-124.150,radar fijo
2024,2024_489318_2142388,489318.43530167383,2142388.3217334263,1,079-SSC-IZT-EV-143.246,radar fijo,Gerentes,Etnógrafos,2023,2024,660.0372148559927,2023_488720_2142110,019-SSC-IZP-EV-124.150,radar fijo
2024,2024_486389_2143076,486389.33441862516,2143076.1085123825,1,057-SSC-IZT-FC-119.198,radar fijo,Playa Villa Del Mar,Playa Roqueta,2023,2024,516.8249866639429,2023_486356_2142560,JFCF006,radar fijo
2024,2024_486379_2154991,486378.6169918134,2154991.145860709,1,065-SSC-GAM-EV-143.134,radar fijo,Pulacayo,Latacunga,2023,2024,439.68504704594403,2023_485983_2155183,BFCF010 | BFCF011,radar fijo
2024,2024_482418_2149578,482417.5325860883,2149578.300009813,1,064-SSC-MIH-EV-119.254,radar fijo,Nezahualpilli,Nopaltzin,2023,2024,397.83916525976184,2023_482638_2149909,,radar móvil
2024,2024_483875_2150238,483875.10830270936,2150237.8741932423,1,043-SSC-CUH-FC-119.86,radar fijo,Av. Insurgentes Norte,Dr. Mariano Azuela,2023,2024,364.4449641641296,2023_483655_2149947,,radar móvil
2024,2024_486565_2150946,486565.1448307109,2150945.980195631,1,078-SSC-CUH-EV-143.232,radar fijo,Tenochtitlan,F.C. Hidalgo,2023,2024,352.16030034021776,2023_486906_2150856,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo
2024,2024_483921_2150175,483921.3423978433,2150174.8710980285,1,047-SSC-CUH-FC-119.118,radar fijo,Eje 1 Norte Mosqueta,Carlos J. Meneses,2023,2024,350.1310900425378,2023_483655_2149947,,radar móvil
2024,2024_481500_2147679,481500.45750887337,2147678.519914985,1,074-SSC-MIH-EV-143.206,radar fijo,Lieja,Cto. Interior Mtro. José Vasconcelos,2023,2024,346.41770868914097,2023_481774_2147466,003-SSC-CUH-FC-124.22,radar fijo
