id_espacial,n_registros,n_anios,anio_min,anio_max,ids,n_ids,tipos,lon,lat
-99.15412_19.49525,1,1,2019,2019,,0,radar móvil,-99.1541153,19.49524818
-99.15418_19.49519,1,1,2019,2019,RVEM006,1,radar móvil,-99.15418114,19.49518622
-99.15585_19.43978,1,1,2019,2019,,0,radar móvil,-99.15585038,19.43977992
-99.1596_19.44728,1,1,2024,2024,062-SSC-CUH-EV-119.238,1,radar fijo,-99.1596012,19.4472752
-99.16137_19.47309,1,1,2019,2019,,0,radar móvil,-99.16136803,19.47308722
-99.16334_19.42911,1,1,2019,2019,RVEM001,1,radar móvil,-99.16333787,19.42910974
-99.16395_19.45334,1,1,2023,2023,VVEF009 ,1,radar fijo,-99.163946,19.45334
-99.16396_19.45305,1,1,2024,2024,071-SSC-CUH-EV-143.182,1,radar fijo,-99.1639617,19.4530477
-99.1675_19.44051,1,1,2024,2024,064-SSC-MIH-EV-119.254,1,radar fijo,-99.1675,19.440507
-99.16848_19.40591,1,1,2019,2019,RVEM004,1,radar móvil,-99.16848004,19.40591492
-99.17111_19.34548,1,1,2019,2019,,0,radar móvil,-99.17111108,19.34547587
-99.17622_19.42333,1,1,2024,2024,074-SSC-MIH-EV-143.206,1,radar fijo,-99.176218,19.42333
-99.18078_19.34643,1,1,2024,2024,050-SSC-COY-FC-119.142,1,radar fijo,-99.180784,19.346434
-99.18273_19.4486,1,1,2024,2024,051-SSC-MIH-FC-119.150,1,radar fijo,-99.182727,19.448604
-99.18494_19.39982,1,1,2019,2019,,0,radar móvil,-99.18494133,19.39982408
-99.18601_19.39002,1,1,2024,2024,067-SSC-BEJ-EV-143.150,1,radar fijo,-99.1860081,19.3900162
-99.18911_19.36345,1,1,2024,2024,055-SSC-BEJ-FC-119.182,1,radar fijo,-99.18911,19.363455
-99.19208_19.33868,1,1,2019,2019,,0,radar móvil,-99.19208303,19.33867808
-99.19379_19.43811,1,1,2019,2019,RVEM009,1,radar móvil,-99.19378713,19.43811197
-99.19381_19.43811,1,1,2019,2019,RVEM010,1,radar móvil,-99.19381295,19.43811197
-99.19993_19.35424,3,1,2022,2022,RVEF041 | RVEF042 | RVEF043,3,radar fijo,-99.199933,19.354244
-99.20225_19.40629,1,1,2023,2023,VVEF010 ,1,radar fijo,-99.2022534,19.4062947
-99.20227_19.40622,1,1,2024,2024,072-SSC-MIH-EV-143.190,1,radar fijo,-99.2022738,19.4062228
