term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,ventana_pre,ventana
fixest::tiempo_evento::1:tratado,3.401845679947547,1.3129410317616983,2.591011780158143,0.009646180376109734,0.8268094609909844,5.976881898904109,1,8,-8 a +5
fixest::tiempo_evento::2:tratado,1.983133868605694,1.5514597596967725,1.2782373865715284,0.20132935625472084,-1.059702768247885,5.025970505459274,2,8,-8 a +5
fixest::tiempo_evento::3:tratado,5.043061657324829,1.8361205544325292,2.7465852637783015,0.006081463570548179,1.4419273979360008,8.644195916713658,3,8,-8 a +5
fixest::tiempo_evento::4:tratado,-4.040574660405552,1.285659412209576,-3.1428033132517497,0.0017004519908507168,-6.562104166753517,-1.5190451540575869,4,8,-8 a +5
fixest::tiempo_evento::5:tratado,-1.6446876735851825,1.293238628244939,-1.2717588522832763,0.2036219231488016,-4.181082094144998,0.8917067469746334,5,8,-8 a +5
fixest::tiempo_evento::-6:tratado,0.32075948088648776,1.204271783146362,0.2663514045379771,0.7899988750476524,-2.0411466398387668,2.6826656016117423,-6,6,-6 a +5
fixest::tiempo_evento::-5:tratado,-2.3026309145082298,1.172944841543816,-1.9631195201622051,0.049784959138463585,-4.603096340408483,-0.002165488607977384,-5,6,-6 a +5
fixest::tiempo_evento::-4:tratado,0.0534388728977806,1.388445624396469,0.038488272035146834,0.9693026195405199,-2.669682489282019,2.77656023507758,-4,6,-6 a +5
fixest::tiempo_evento::-3:tratado,-1.8481669444026771,1.3823990878604226,-1.3369272018713036,0.1814141266415301,-4.559429395783816,0.8630955069784616,-3,6,-6 a +5
fixest::tiempo_evento::-2:tratado,-0.524781598747941,1.3916128216057668,-0.3771031644724293,0.7061410736579877,-3.2541147003198567,2.204551502823975,-2,6,-6 a +5
referencia,0,NA,NA,NA,0,0,-1,6,-6 a +5
fixest::tiempo_evento::0:tratado,1.993107104983901,1.6113937234988394,1.2368839942210044,0.2162903438217599,-1.167276416156531,5.153490626124333,0,6,-6 a +5
fixest::tiempo_evento::1:tratado,3.4018456799473062,1.3129324105767086,2.5910287936703744,0.009645705291804394,0.8268263694908677,5.976864990403745,1,6,-6 a +5
fixest::tiempo_evento::2:tratado,1.9831338686055646,1.5514495723232526,1.2782457799359064,0.20132639835660804,-1.0596827880241089,5.025950525235238,2,6,-6 a +5
fixest::tiempo_evento::3:tratado,5.043061657324544,1.8361084978871325,2.746603298839776,0.006081130616951695,1.441951044116558,8.644172270532529,3,6,-6 a +5
fixest::tiempo_evento::4:tratado,-4.040574660405368,1.2856509701642083,-3.142823950025325,0.0017003327733547246,-6.56208760959497,-1.5190617112157656,4,6,-6 a +5
fixest::tiempo_evento::5:tratado,-1.644687673585108,1.2932301364322065,-1.2717672031078016,0.20361895584097736,-4.1810654393791555,0.8916900922089401,5,6,-6 a +5
