term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::7:tratada,-444.452131421209,319.1179636011378,-1.392751841374637,0.16386560997024943,-1070.3296800038627,181.42541716144473,7,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::8:tratada,-453.2823799777248,306.86215878065246,-1.4771530702217823,0.13980828795373185,-1055.122945526292,148.55818557084223,8,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::9:tratada,-465.2363075778204,304.9543965125798,-1.5255930489876663,0.12728566190557158,-1063.3352298852938,132.86261472965293,9,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::10:tratada,-433.16436144870346,306.46146870352675,-1.4134382481464582,0.15769857358916084,-1034.2190642386129,167.8903413412059,10,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::11:tratada,-450.2388731347893,300.2595854893874,-1.4994987500597308,0.13391839652124302,-1039.1299878306324,138.65224156105387,11,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::12:tratada,-476.98357403796206,299.25818501904274,-1.5938864763468712,0.1111357694736927,-1063.9106687066776,109.94352063075348,12,2021-02-01 | n_infracciones_velocidad | 250m,2021-02,250,n_infracciones_velocidad
fixest::tiempo_evento::-11:tratada,-143.69690690204868,117.85676731466658,-1.219250367850251,0.22290778146462412,-374.8462404537521,87.45242664965474,-11,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-10:tratada,-475.1288078968093,150.23208566801276,-3.16263204217748,0.0015893855484067235,-769.7749896262662,-180.4826261673524,-10,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-9:tratada,-618.1379214116182,183.8811423073336,-3.361616714227718,7.909758068907501e-4,-978.7791002383237,-257.4967425849127,-9,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-8:tratada,-620.4213266901559,186.92169605871496,-3.319150958780473,9.208060037162437e-4,-987.0258624735601,-253.81679090675163,-8,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-7:tratada,-498.8650822296146,160.85362989964185,-3.1013604264999266,0.0019560072480839146,-814.3430152990344,-183.38714916019478,-7,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-6:tratada,207.23774743281487,171.15464213012808,1.2108216572662573,0.2261215784843531,-128.44328611387832,542.918780979508,-6,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-5:tratada,353.06687210870314,181.99282362362013,1.9400043643417597,0.05253405691226697,-3.8707976601964447,710.0045418776027,-5,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-4:tratada,204.5508157452032,164.39379384299104,1.244273344896251,0.2135598122649988,-117.87034642182229,526.9719779122287,-4,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-3:tratada,311.9644117469368,169.7305784076672,1.8379976941906448,0.06622627149310152,-20.923643612062392,644.852467105936,-3,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-2:tratada,238.3713111002329,141.6942316740305,1.6822936846759529,0.09268410424242196,-39.52980536367471,516.2724275641406,-2,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::0:tratada,185.06614171439801,168.9199564907685,1.0955848294012076,0.27340601780175317,-146.2320625047573,516.3643459335533,0,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::1:tratada,-47.655327773240856,102.69506751911777,-0.4640469004450415,0.6426698555006369,-249.0684239997247,153.757768453243,1,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::3:tratada,-591.7762859850272,187.2447184548857,-3.1604431402299253,0.0016013094489894925,-959.0143569764505,-224.53821499360402,3,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::4:tratada,-585.3449389410684,187.68876176376128,-3.1186999873643266,0.0018450688972220868,-953.453900228003,-217.23597765413388,4,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::5:tratada,-362.0091299267755,225.2660595026554,-1.607029175748991,0.10822209862033447,-803.8174427819453,79.79918292839432,5,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::6:tratada,-342.63540196169583,224.13857629990488,-1.528676623265592,0.12651907187832886,-782.2324120903052,96.96160816691349,6,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::7:tratada,-366.1855898946064,219.64172989711997,-1.6671949818740157,0.09564835159403416,-796.9630551402911,64.59187535107833,7,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::8:tratada,-368.0609386783773,212.057100093619,-1.7356690179950858,0.08279227882787205,-783.962871833191,47.840994476436435,8,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::9:tratada,-370.49323769686066,211.27635956411612,-1.7535953310688646,0.07966884070510583,-784.8639252797543,43.87744988603305,9,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::10:tratada,-358.6877605606578,211.57172911370654,-1.6953482493300682,0.09018108377763696,-773.637748561295,56.262227439979426,10,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::11:tratada,-368.6397473971517,207.52792972057975,-1.7763379989069257,0.07584489186269672,-775.6587395285198,38.37924473421634,11,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::12:tratada,-386.1690616472299,207.24020006384373,-1.8633887707513515,0.06256916314468504,-792.6237372788927,20.28561398443287,12,2021-02-01 | n_infracciones | 500m,2021-02,500,n_infracciones
fixest::tiempo_evento::-11:tratada,-149.49400502106272,114.86019544312855,-1.3015301292525019,0.19324241628947378,-374.7662421036557,75.77823206153028,-11,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-10:tratada,-438.630186618499,148.78921408248846,-2.9479972007602866,0.0032392915776239296,-730.4465028001918,-146.81387043680627,-10,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-9:tratada,-545.0510906660735,181.1006811224439,-3.009657872559625,0.0026514936104733845,-900.2390251479916,-189.8631561841554,-9,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-8:tratada,-548.6438343223157,183.83397482433884,-2.9844528730152744,0.002878851497962732,-909.1925048229576,-188.09516382167374,-8,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-7:tratada,-439.74613055048576,157.59321564055824,-2.7903874463318745,0.005319614156248581,-748.8295001148886,-130.66276098608296,-7,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-6:tratada,155.2328603567031,168.33215886338755,0.9221818421676907,0.3565564332461374,-174.9125120571336,485.3782327705398,-6,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-5:tratada,331.1157223532887,180.22025929811738,1.8372835753474448,0.06633162260928932,-22.34546429246916,684.5769089990465,-5,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-4:tratada,156.6077495665607,161.78578086400066,0.9679945217077347,0.3331762155322091,-160.69838632133485,473.91388545445625,-4,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-3:tratada,270.36091324057026,168.00595083251642,1.6092341485575743,0.10773924842879691,-59.144676064895975,599.8665025460365,-3,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-2:tratada,219.4596272542768,139.41050998813978,1.5741971482131951,0.11561635402260544,-53.96248679221489,492.88174130076845,-2,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::0:tratada,171.1318033367166,168.7052599587424,1.0143833297110452,0.3105352266842855,-159.7453223018495,502.0089289752827,0,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::1:tratada,-35.05557971819408,101.48976805660695,-0.3454099894941279,0.7298262389180317,-234.10475426383158,163.99359482744342,1,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::3:tratada,-542.5902201017781,184.62125940192428,-2.9389368367407136,0.0033350373658177015,-904.6829708412622,-180.49746936229388,3,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::4:tratada,-539.7176451748198,184.89811210337143,-2.9190003025724707,0.003554862484048129,-902.3533797317766,-177.081910617863,4,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
