anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_origen,anio_destino,distancia_siguiente_m,id_destino,x_destino,y_destino,ids_destino,tipos_destino,calle1_destino,calle2_destino,rango_distancia
2019,2019_484658_2148101,484657.7959939932,2148100.6684963717,1,,radar móvil,Entre Av. Cuauhtémoc y ,Av. Dr. José María Vértiz,2019,2020,453.80102075699057,2020_485107_2148035,485106.8579642713,2148035.2566221436,JFCF022,radar fijo,Eje Central Lázaro Cárdenas,y Avenida Hidalgo,>100 m
2019,2019_483821_2155627,483821.04178553325,2155627.4547851873,1,RVEM006,radar móvil,Entre Eje 5 Norte y,Eje 4 Norte,2019,2020,421.2435854807315,2020_484232_2155535,484231.93223760696,2155534.636712037,RVEF008,radar fijo,Eje 1 Nte. José Antonio Álzate ,y Naranjo,>100 m
2019,2019_483828_2155634,483827.95685656246,2155634.3047092753,1,,radar móvil,Entre Eje Central y ,Calle Chosica,2019,2020,416.0887142948305,2020_484232_2155535,484231.93223760696,2155534.636712037,RVEF008,radar fijo,Eje 1 Nte. José Antonio Álzate ,y Naranjo,>100 m
2019,2019_479658_2149316,479657.86773849995,2149316.1768888286,1,RVEM009,radar móvil,Entre Arquimides y ,Lago Victoria,2019,2020,371.43514236686616,2020_479287_2149337,479287.0396629301,2149337.404308697,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,>100 m
2019,2019_479655_2149316,479655.1573653959,2149316.179939744,1,RVEM010,radar móvil,Entre Lago Victoria y ,Moliere,2019,2020,368.72905595593517,2020_479287_2149337,479287.0396629301,2149337.404308697,RVEM007,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,>100 m
2019,2019_484775_2145529,484775.27174926415,2145529.3128654077,1,,radar móvil,Entre Eje Central Lázaro Cárdenas y ,Av. Doctor José María Vértiz,2019,2020,354.51535068738434,2020_484814_2145882,484813.62861509604,2145881.747092912,RVEF021,radar fijo,Av. Insurgentes Nte.,y Pte. 112,>100 m
2019,2019_483065_2153183,483064.588648671,2153182.8054559506,1,,radar móvil,Entre Av. Ceylan y ,Mariano Escobedo,2019,2020,268.0229095965701,2020_483325_2153247,483324.71583814407,2153247.3819637955,VVEF031,radar fijo,Calz. Vallejo,y Cuauhtémoc,>100 m
2019,2019_484414_2151415,484414.00717493694,2151414.5111565627,1,RVEM005,radar móvil,Entre Florencio Constantino y ,Av. Insurgentes,2019,2020,233.2202581992251,2020_484638_2151351,484638.4048130572,2151350.970706135,VVEF006,radar fijo,Circuito Bicentenario Av. Río Consulado ,y Av. Congreso de la Unión,>100 m
2019,2019_485338_2143174,485338.0832278885,2143173.5136616807,1,RVEM011,radar móvil,Entre Eje 5 Sur y ,Viaducto,2019,2020,176.2822284110319,2020_485367_2143347,485367.4071642836,2143347.3398127854,RVEM005,radar móvil,Calzada De Tlalpan Y,Calle Elvira Direccion Norte,>100 m
2019,2019_487004_2152610,487004.1482423587,2152609.8438548017,1,,radar móvil,Entre Calz. de los Misterios y ,Vallejo,2019,2020,130.97473128217354,2020_486887_2152669,486887.2027161789,2152668.819478079,BFCF014 | BFCF029 | BFCF033 | BFCF034,radar fijo,Calzada de Misterios,y Eje 3 Norte Av. Alfredo Robles Domínguez,>100 m
